2023-10-04 00:25:05.989 | SUCCESS  | cellfunctions_:get_source:258 - 获取源码成功
2023-10-04 00:25:06.063 | SUCCESS  | cellfunctions_:get_source:258 - 获取源码成功
2023-10-04 00:25:06.694 | SUCCESS  | cellfunctions_:get_source:258 - 获取源码成功
2023-10-04 00:25:06.723 | SUCCESS  | cellfunctions_:get_source:258 - 获取源码成功
2023-10-04 00:25:07.030 | SUCCESS  | cellfunctions_:get_source:258 - 获取源码成功
2023-10-04 00:25:09.635 | SUCCESS  | cellfunctions_:save_img:374 - 下载图片成功: /mnt/f/database_learn/k_spider/pictures12/363162.jpg
2023-10-04 00:25:11.257 | SUCCESS  | cellfunctions_:save_img:374 - 下载图片成功: /mnt/f/database_learn/k_spider/pictures12/358195.jpg
2023-10-04 00:25:11.460 | SUCCESS  | cellfunctions_:save_img:374 - 下载图片成功: /mnt/f/database_learn/k_spider/pictures12/360731.jpg
2023-10-04 00:25:13.967 | SUCCESS  | cellfunctions_:save_img:374 - 下载图片成功: /mnt/f/database_learn/k_spider/pictures12/361196.jpg
2023-10-04 00:25:15.693 | SUCCESS  | cellfunctions_:save_img:374 - 下载图片成功: /mnt/f/database_learn/k_spider/pictures12/362340.jpg
2023-10-04 00:25:15.695 | SUCCESS  | __main__:download_imgs:149 - downloaded 5 img to IMG_PATH......
2023-10-04 00:25:17.285 | SUCCESS  | cellfunctions_:get_source:258 - 获取源码成功
2023-10-04 00:25:17.390 | SUCCESS  | cellfunctions_:get_source:258 - 获取源码成功
2023-10-04 00:25:17.392 | SUCCESS  | cellfunctions_:get_source:258 - 获取源码成功
2023-10-04 00:25:17.933 | SUCCESS  | cellfunctions_:get_source:258 - 获取源码成功
2023-10-04 00:25:17.946 | SUCCESS  | cellfunctions_:get_source:258 - 获取源码成功
2023-10-04 00:25:19.413 | SUCCESS  | cellfunctions_:save_img:374 - 下载图片成功: /mnt/f/database_learn/k_spider/pictures12/358616.jpg
2023-10-04 00:25:21.084 | SUCCESS  | cellfunctions_:save_img:374 - 下载图片成功: /mnt/f/database_learn/k_spider/pictures12/362152.jpg
2023-10-04 00:25:21.446 | SUCCESS  | cellfunctions_:save_img:374 - 下载图片成功: /mnt/f/database_learn/k_spider/pictures12/358562.jpg
2023-10-04 00:25:22.546 | SUCCESS  | cellfunctions_:save_img:374 - 下载图片成功: /mnt/f/database_learn/k_spider/pictures12/356093.jpg
2023-10-04 00:25:23.076 | SUCCESS  | cellfunctions_:save_img:374 - 下载图片成功: /mnt/f/database_learn/k_spider/pictures12/355413.jpg
2023-10-04 00:25:23.078 | SUCCESS  | __main__:download_imgs:149 - downloaded 5 img to IMG_PATH......
2023-10-04 00:25:24.801 | ERROR    | cellfunctions_:get_source:246 - 357881图片不存在或者被删除了
2023-10-04 00:25:24.801 | ERROR    | cellfunctions_:get_source:247 - https://konachan.com/post/show/357881/
2023-10-04 00:25:25.337 | SUCCESS  | cellfunctions_:get_source:258 - 获取源码成功
2023-10-04 00:25:25.342 | SUCCESS  | cellfunctions_:get_source:258 - 获取源码成功
2023-10-04 00:25:25.342 | SUCCESS  | cellfunctions_:get_source:258 - 获取源码成功
2023-10-04 00:25:25.349 | SUCCESS  | cellfunctions_:get_source:258 - 获取源码成功
2023-10-04 00:25:30.533 | SUCCESS  | cellfunctions_:save_img:374 - 下载图片成功: /mnt/f/database_learn/k_spider/pictures12/357045.jpg
2023-10-04 00:25:30.957 | SUCCESS  | cellfunctions_:save_img:374 - 下载图片成功: /mnt/f/database_learn/k_spider/pictures12/356870.jpg
2023-10-04 00:25:31.029 | SUCCESS  | cellfunctions_:save_img:374 - 下载图片成功: /mnt/f/database_learn/k_spider/pictures12/357004.jpg
2023-10-04 00:25:31.936 | SUCCESS  | cellfunctions_:save_img:374 - 下载图片成功: /mnt/f/database_learn/k_spider/pictures12/358172.jpg
2023-10-04 00:25:31.937 | SUCCESS  | __main__:download_imgs:149 - downloaded 4 img to IMG_PATH......
