2023-03-06 16:01:00.297 | INFO     | __main__:<module>:403 - 连接数据库中...........
2023-03-06 16:01:00.390 | SUCCESS  | __main__:<module>:427 - link dbas 准备导入数据.....
2023-03-06 16:01:00.396 | SUCCESS  | __main__:<module>:494 - 单次下载数量:3
2023-03-06 16:01:00.397 | SUCCESS  | __main__:<module>:495 - 等待时间:1 并发数:10
2023-03-06 16:01:00.397 | SUCCESS  | __main__:<module>:496 - 下载图片路径:C:\Users\S\Desktop\database_learn\k_spider\pictures
2023-03-06 16:01:01.059 | INFO     | __main__:<module>:508 - 数据库共有1241条图像数据
2023-03-06 16:01:03.394 | WARNING  | __mp_main__:parse:115 - 好像未匹配到tags..
2023-03-06 16:01:03.394 | WARNING  | __mp_main__:parse:116 - 再次匹配tags....
2023-03-06 16:01:03.397 | WARNING  | __mp_main__:parse:115 - 好像未匹配到tags..
2023-03-06 16:01:03.399 | WARNING  | __mp_main__:parse:116 - 再次匹配tags....
2023-03-06 16:01:03.399 | WARNING  | __mp_main__:parse:116 - 再次匹配tags....
2023-03-06 16:01:03.399 | WARNING  | __mp_main__:parse:123 - 匹配失败..
2023-03-06 16:01:03.399 | WARNING  | __mp_main__:parse:123 - 匹配失败..
2023-03-06 16:01:03.399 | WARNING  | __mp_main__:parse:124 - https://konachan.com/post/show/343313/
2023-03-06 16:01:03.399 | WARNING  | __mp_main__:parse:123 - 匹配失败..
2023-03-06 16:01:03.399 | WARNING  | __mp_main__:parse:124 - https://konachan.com/post/show/327889/
2023-03-06 16:01:03.399 | WARNING  | __mp_main__:parse:124 - https://konachan.com/post/show/327925/
2023-03-06 16:01:03.401 | WARNING  | __mp_main__:parse:115 - 好像未匹配到tags..
2023-03-06 16:01:03.401 | WARNING  | __mp_main__:parse:115 - 好像未匹配到tags..
2023-03-06 16:01:03.401 | WARNING  | __mp_main__:parse:116 - 再次匹配tags....
2023-03-06 16:01:03.402 | WARNING  | __mp_main__:parse:116 - 再次匹配tags....
..
2023-03-06 16:01:03.402 | WARNING  | __mp_main__:parse:116 - 再次匹配tags....
2023-03-06 16:01:03.402 | WARNING  | __mp_main__:parse:123 - 匹配失败..
2023-03-06 16:01:03.402 | WARNING  | __mp_main__:parse:123 - 匹配失败..
2023-03-06 16:01:03.402 | WARNING  | __mp_main__:parse:124 - https://konachan.com/post/show/327889/
2023-03-06 16:01:03.402 | WARNING  | __mp_main__:parse:123 - 匹配失败..
2023-03-06 16:01:03.402 | WARNING  | __mp_main__:parse:124 - https://konachan.com/post/show/343313/
2023-03-06 16:01:03.402 | WARNING  | __mp_main__:parse:124 - https://konachan.com/post/show/327925/
2023-03-06 16:01:03.407 | WARNING  | __mp_main__:parse:115 - 好像未匹配到tags..
2023-03-06 16:01:03.407 | WARNING  | __mp_main__:parse:116 - 再次匹配tags....
2023-03-06 16:01:03.407 | WARNING  | __mp_main__:parse:123 - 匹配失败..
2023-03-06 16:01:03.408 | WARNING  | __mp_main__:parse:124 - https://konachan.com/post/show/327889/
2023-03-06 16:01:03.408 | WARNING  | __mp_main__:parse:115 - 好像未匹配到tags..
2023-03-06 16:01:03.408 | WARNING  | __mp_main__:parse:115 - 好像未匹配到tags..
2023-03-06 16:01:03.408 | WARNING  | __mp_main__:parse:116 - 再次匹配tags....
2023-03-06 16:01:03.408 | WARNING  | __mp_main__:parse:116 - 再次匹配tags....
2023-03-06 16:01:03.408 | WARNING  | __mp_main__:parse:123 - 匹配失败..
2023-03-06 16:01:03.408 | WARNING  | __mp_main__:parse:124 - https://konachan.com/post/show/327925/
2023-03-06 16:01:03.408 | WARNING  | __mp_main__:parse:124 - https://konachan.com/post/show/343313/
2023-03-06 16:01:03.410 | WARNING  | __mp_main__:parse:115 - 好像未匹配到tags..
2023-03-06 16:01:03.410 | WARNING  | __mp_main__:parse:116 - 再次匹配tags....
2023-03-06 16:01:03.410 | WARNING  | __mp_main__:parse:123 - 匹配失败..
2023-03-06 16:01:03.411 | WARNING  | __mp_main__:parse:124 - https://konachan.com/post/show/327889/
2023-03-06 16:01:03.411 | WARNING  | __mp_main__:parse:115 - 好像未匹配到tags..
2023-03-06 16:01:03.411 | WARNING  | __mp_main__:parse:115 - 好像未匹配到tags..
2023-03-06 16:01:03.411 | WARNING  | __mp_main__:parse:116 - 再次匹配tags....
2023-03-06 16:01:03.411 | WARNING  | __mp_main__:parse:116 - 再次匹配tags....
2023-03-06 16:01:03.411 | WARNING  | __mp_main__:parse:123 - 匹配失败..
2023-03-06 16:01:03.411 | WARNING  | __mp_main__:parse:123 - 匹配失败..
2023-03-06 16:01:03.411 | WARNING  | __mp_main__:parse:124 - https://konachan.com/post/show/343313/
2023-03-06 16:01:03.411 | WARNING  | __mp_main__:parse:124 - https://konachan.com/post/show/327925/
2023-03-06 16:01:03.415 | WARNING  | __mp_main__:parse:115 - 好像未匹配到tags..
2023-03-06 16:01:03.415 | WARNING  | __mp_main__:parse:116 - 再次匹配tags....
2023-03-06 16:01:03.416 | WARNING  | __mp_main__:parse:123 - 匹配失败..
2023-03-06 16:01:03.416 | WARNING  | __mp_main__:parse:115 - 好像未匹配到tags..
2023-03-06 16:01:03.416 | WARNING  | __mp_main__:parse:124 - https://konachan.com/post/show/327889/
2023-03-06 16:01:03.416 | WARNING  | __mp_main__:parse:116 - 再次匹配tags....
2023-03-06 16:01:03.416 | WARNING  | __mp_main__:parse:123 - 匹配失败..
2023-03-06 16:01:03.416 | WARNING  | __mp_main__:parse:124 - https://konachan.com/post/show/327925/
2023-03-06 16:01:03.416 | WARNING  | __mp_main__:parse:115 - 好像未匹配到tags..
2023-03-06 16:01:03.417 | WARNING  | __mp_main__:parse:116 - 再次匹配tags....
2023-03-06 16:01:03.417 | WARNING  | __mp_main__:parse:123 - 匹配失败..
2023-03-06 16:01:03.417 | WARNING  | __mp_main__:parse:124 - https://konachan.com/post/show/343313/
2023-03-06 16:01:03.417 | WARNING  | __mp_main__:parse:115 - 好像未匹配到tags..
2023-03-06 16:01:03.417 | WARNING  | __mp_main__:parse:116 - 再次匹配tags....
2023-03-06 16:01:03.418 | WARNING  | __mp_main__:parse:123 - 匹配失败..
2023-03-06 16:01:03.418 | WARNING  | __mp_main__:parse:124 - https://konachan.com/post/show/327889/
2023-03-06 16:01:03.418 | WARNING  | __mp_main__:parse:115 - 好像未匹配到tags..
2023-03-06 16:01:03.418 | WARNING  | __mp_main__:parse:116 - 再次匹配tags....
2023-03-06 16:01:03.419 | WARNING  | __mp_main__:parse:123 - 匹配失败..
2023-03-06 16:01:03.419 | WARNING  | __mp_main__:parse:115 - 好像未匹配到tags..
2023-03-06 16:01:03.419 | WARNING  | __mp_main__:parse:124 - https://konachan.com/post/show/327925/
2023-03-06 16:01:03.419 | WARNING  | __mp_main__:parse:116 - 再次匹配tags....
2023-03-06 16:01:03.419 | WARNING  | __mp_main__:parse:115 - 好像未匹配到tags..
2023-03-06 16:01:03.419 | WARNING  | __mp_main__:parse:116 - 再次匹配tags....
2023-03-06 16:01:03.419 | WARNING  | __mp_main__:parse:123 - 匹配失败..
2023-03-06 16:01:03.420 | WARNING  | __mp_main__:parse:123 - 匹配失败..
.com/post/show/343313/
2023-03-06 16:01:03.420 | WARNING  | __mp_main__:parse:124 - https://konachan.com/post/show/327889/
2023-03-06 16:01:03.421 | WARNING  | __mp_main__:parse:115 - 好像未匹配到tags..
2023-03-06 16:01:03.421 | WARNING  | __mp_main__:parse:115 - 好像未匹配到tags..
2023-03-06 16:01:03.421 | WARNING  | __mp_main__:parse:116 - 再次匹配tags....
2023-03-06 16:01:03.421 | WARNING  | __mp_main__:parse:116 - 再次匹配tags....
2023-03-06 16:01:03.421 | WARNING  | __mp_main__:parse:123 - 匹配失败..
2023-03-06 16:01:03.421 | WARNING  | __mp_main__:parse:123 - 匹配失败..
2023-03-06 16:01:03.422 | WARNING  | __mp_main__:parse:124 - https://konachan.com/post/show/327925/
2023-03-06 16:01:03.422 | ERROR    | __mp_main__:parse:213 - 未知 parse error 2....
show/343313/
2023-03-06 16:01:03.422 | ERROR    | __mp_main__:parse:214 - 'link'
2023-03-06 16:01:03.422 | ERROR    | __mp_main__:parse:226 - 未知 parse error 3....
2023-03-06 16:01:03.422 | ERROR    | __mp_main__:parse:227 - https://konachan.com/post/show/327889/
2023-03-06 16:01:03.424 | ERROR    | __mp_main__:parse:213 - 未知 parse error 2....
