2023-04-14 16:08:20.859 | SUCCESS  | cellfunctions_:get_headers:54 - get cookie success..
2023-04-14 16:08:33.051 | SUCCESS  | __main__:mode_a:275 - 单次下载数量:2
2023-04-14 16:08:33.052 | SUCCESS  | __main__:mode_a:276 - 等待时间:1 并发数:12
2023-04-14 16:08:33.053 | SUCCESS  | __main__:mode_a:277 - 下载图片路径:F:\database_learn\k_spider\pictures7
2023-04-14 16:08:33.054 | INFO     | __main__:link_db:139 - 连接数据库中...........
2023-04-14 16:08:33.271 | SUCCESS  | __main__:link_db:159 - 图像数据表: kimg
2023-04-14 16:08:33.272 | SUCCESS  | __main__:link_db:160 - tag数据表: tags
2023-04-14 16:08:33.273 | SUCCESS  | __main__:link_db:162 - link dbas 准备导入数据.....
2023-04-14 16:08:33.502 | INFO     | __main__:mode_a:298 - 数据库共有28807条图像数据
2023-04-14 16:08:33.506 | INFO     | __main__:mode_a:325 - 排除1个重复pid....
2023-04-14 16:08:34.773 | ERROR    | cellfunctions_:get_source:97 - 图片不存在或者被删除了
2023-04-14 16:08:34.774 | ERROR    | cellfunctions_:get_source:98 - https://konachan.com/post/show/314306/
2023-04-14 16:08:34.778 | WARNING  | __main__:save_img_and_todb:192 - 没有得到数据
2023-04-14 16:08:34.780 | SUCCESS  | __main__:mode_a:329 - added 0 img data....
2023-04-14 16:08:34.781 | INFO     | __main__:link_db:139 - 连接数据库中...........
2023-04-14 16:08:34.785 | SUCCESS  | __main__:link_db:159 - 图像数据表: kimg
2023-04-14 16:08:34.785 | SUCCESS  | __main__:link_db:160 - tag数据表: tags
2023-04-14 16:08:34.786 | SUCCESS  | __main__:link_db:162 - link dbas 准备导入数据.....
2023-04-14 16:08:34.967 | INFO     | __main__:mode_a:298 - 数据库共有28807条图像数据
2023-04-14 16:08:34.971 | INFO     | __main__:mode_a:325 - 排除1个重复pid....
2023-04-14 16:08:37.054 | ERROR    | cellfunctions_:get_source:97 - 图片不存在或者被删除了
2023-04-14 16:08:37.056 | ERROR    | cellfunctions_:get_source:98 - https://konachan.com/post/show/316174/
2023-04-14 16:08:37.059 | WARNING  | __main__:save_img_and_todb:192 - 没有得到数据
2023-04-14 16:08:37.061 | SUCCESS  | __main__:mode_a:329 - added 0 img data....
2023-04-14 16:08:37.062 | INFO     | __main__:link_db:139 - 连接数据库中...........
2023-04-14 16:08:37.066 | SUCCESS  | __main__:link_db:159 - 图像数据表: kimg
2023-04-14 16:08:37.067 | SUCCESS  | __main__:link_db:160 - tag数据表: tags
2023-04-14 16:08:37.068 | SUCCESS  | __main__:link_db:162 - link dbas 准备导入数据.....
2023-04-14 16:08:37.258 | INFO     | __main__:mode_a:298 - 数据库共有28807条图像数据
2023-04-14 16:08:37.265 | INFO     | __main__:mode_a:325 - 排除1个重复pid....
2023-04-14 16:08:38.795 | SUCCESS  | cellfunctions_:get_source:109 - 获取源码成功
2023-04-14 16:08:42.510 | SUCCESS  | cellfunctions_:save_img:189 - 下载图片成功
2023-04-14 16:08:42.511 | SUCCESS  | __main__:download_imgs:125 - downloaded 1 img ......
2023-04-14 16:08:42.519 | SUCCESS  | __main__:save_img_and_todb:217 - imported: F:\database_learn\k_spider\pictures7\350070.jpg
2023-04-14 16:08:42.555 | SUCCESS  | __main__:save_img_and_todb:250 - added 1 img data...
2023-04-14 16:08:42.557 | SUCCESS  | __main__:mode_a:329 - added 1 img data....
2023-04-14 16:08:42.558 | INFO     | __main__:link_db:139 - 连接数据库中...........
2023-04-14 16:08:42.562 | SUCCESS  | __main__:link_db:159 - 图像数据表: kimg
2023-04-14 16:08:42.564 | SUCCESS  | __main__:link_db:160 - tag数据表: tags
2023-04-14 16:08:42.564 | SUCCESS  | __main__:link_db:162 - link dbas 准备导入数据.....
2023-04-14 16:08:42.747 | INFO     | __main__:mode_a:298 - 数据库共有28808条图像数据
2023-04-14 16:08:42.751 | INFO     | __main__:mode_a:325 - 排除1个重复pid....
2023-04-14 16:08:44.116 | SUCCESS  | cellfunctions_:get_source:109 - 获取源码成功
