2023-08-28 01:15:38.144 | WARNING  | __main__:<module>:32 - 代理: http://127.0.0.1:10809
2023-08-28 01:15:38.145 | INFO     | __main__:<module>:396 - 获取headers.......
2023-08-28 01:15:38.148 | SUCCESS  | __main__:<module>:412 - 获取headers成功......
2023-08-28 01:15:38.148 | SUCCESS  | __main__:mode_a:301 - 单次下载数量:10
2023-08-28 01:15:38.150 | SUCCESS  | __main__:mode_a:302 - 并发数:10
2023-08-28 01:15:38.151 | SUCCESS  | __main__:mode_a:303 - 下载图片路径:F:\database_learn\k_spider\pictures10
2023-08-28 01:15:38.151 | SUCCESS  | __main__:mode_a:304 - 下载次数:2
2023-08-28 01:15:38.152 | INFO     | __main__:link_db:150 - 连接数据库中...........
2023-08-28 01:15:38.223 | SUCCESS  | __main__:link_db:173 - 图像数据表: kimg
2023-08-28 01:15:38.225 | SUCCESS  | __main__:link_db:174 - tag数据表: tags
2023-08-28 01:15:38.226 | SUCCESS  | __main__:link_db:176 - link dbas 准备导入数据.....
2023-08-28 01:15:38.495 | INFO     | __main__:mode_a:325 - 数据库共有39909条图像数据
2023-08-28 01:15:39.225 | ERROR    | cellfunctions_:get_source:126 - 369731图片不存在或者被删除了
2023-08-28 01:15:39.226 | ERROR    | cellfunctions_:get_source:127 - https://konachan.com/post/show/369731/
2023-08-28 01:15:39.275 | ERROR    | cellfunctions_:get_source:126 - 366827图片不存在或者被删除了
2023-08-28 01:15:39.277 | ERROR    | cellfunctions_:get_source:127 - https://konachan.com/post/show/366827/
2023-08-28 01:15:39.829 | ERROR    | cellfunctions_:get_source:126 - 368366图片不存在或者被删除了
2023-08-28 01:15:39.831 | ERROR    | cellfunctions_:get_source:127 - https://konachan.com/post/show/368366/
2023-08-28 01:15:39.891 | ERROR    | cellfunctions_:get_source:126 - 362701图片不存在或者被删除了
2023-08-28 01:15:39.893 | ERROR    | cellfunctions_:get_source:127 - https://konachan.com/post/show/362701/
2023-08-28 01:15:40.221 | SUCCESS  | cellfunctions_:get_source:138 - 获取源码成功
2023-08-28 01:15:40.488 | SUCCESS  | cellfunctions_:get_source:138 - 获取源码成功
